attacker_hashpower,confirmations,analytical_probability,simulated_probability,ci_low,ci_high,attack_cost_btc,breakeven_tx_value_btc
0.25,20,0.000106115022556863,,,,,
0.3,0,1.0,0.600208,0.599248,0.601168,,
0.3,1,0.627749109982254,0.429366,0.428396,0.430336,6.250000000000001,9.95620686770338
0.3,2,0.44571709952398375,0.183709,0.18295,0.184468,,
0.3,3,0.32458410182048103,0.079122,0.078593,0.079651,18.75,57.76623036937938
0.3,4,0.23912685779723908,0.03362,0.033267,0.033974,,
0.3,5,0.1773523113609451,0.014338,0.014105,0.014571,,
0.3,6,0.13211116871353523,0.00625,0.006096,0.006405,37.5,283.8518526871377
0.3,7,0.09871249872697008,0.002591,0.002492,0.002691,,
0.3,8,0.07392439570088305,0.001109,0.001044,0.001175,,
0.3,9,0.05545720175749003,0.000509,0.000465,0.000554,,
0.3,10,0.04166047996897959,0.000192,0.000165,0.00022,62.5,1500.2227541914428
0.3,11,0.031330875666919944,,,,,
0.3,12,0.023584016616763903,,,,,
0.3,13,0.017766223287985494,,,,,
0.3,14,0.013392262983627612,,,,,
0.3,15,0.010100762173111288,,,,,
0.3,16,0.007621899672233701,,,,,
0.3,17,0.00575379927376507,,,,,
0.3,18,0.004345168755587658,,,,,
0.3,19,0.0032824695641047175,,,,,
0.3,20,0.0024803981782361983,,,,,
0.35,0,1.0,0.699901,0.699003,0.700799,,
0.35,1,0.7306251639337351,0.538004,0.537027,0.538981,6.25,8.554318012193255
0.35,2,0.588810786934213,0.28936,0.288471,0.290249,,
0.35,3,0.4844586102681797,0.156002,0.155291,0.156714,18.749999999999996,38.702996711361244
0.35,4,0.4025116172905503,0.084194,0.08365,0.084739,,
0.35,5,0.3363647752988814,0.045152,0.044745,0.045559,,
0.35,6,0.28217121190909056,0.024258,0.023957,0.02456,37.49999999999999,132.89803643073864
0.35,7,0.23736082004622017,0.012942,0.012721,0.013164,,
0.35,8,0.20007936392408876,0.007121,0.006957,0.007286,,
0.35,9,0.16892500298457702,0.003843,0.003722,0.003965,,
0.35,10,0.14280535760069613,0.002089,0.002,0.002179,62.5,437.65864985793314
0.35,11,0.12085155205504394,,,,,
0.35,12,0.10236242375585802,,,,,
0.35,13,0.08676616892588784,,,,,
0.35,14,0.07359279557638854,,,,,
0.35,15,0.06245366311578593,,,,,
0.35,16,0.05302588636769601,,,,,
0.35,17,0.04504020524965202,,,,,
0.35,18,0.038271399527132655,,,,,
0.35,19,0.03253061926586531,,,,,
0.35,20,0.027659186510799127,,,,,
0.4,0,1.0,0.799377,0.798592,0.800162,,
0.4,1,0.8288609603224694,0.665429,0.664504,0.666354,6.25,7.540468545615214
0.4,2,0.7364028618842733,0.44224,0.441267,0.443213,,
0.4,3,0.6641680008572945,0.294998,0.294104,0.295892,18.75,28.230809035963613
0.4,4,0.6034010417859025,0.195448,0.194671,0.196226,,
0.4,5,0.5506251290702074,0.129358,0.128701,0.130016,,
0.4,6,0.5039803397466074,0.085855,0.085306,0.086404,37.5,74.40766443162119
0.4,7,0.46230130258754565,0.056684,0.056231,0.057138,,
0.4,8,0.4247822602854614,0.037338,0.036967,0.03771,,
0.4,9,0.39082773644938973,0.024767,0.024463,0.025072,,
0.4,10,0.35997632400660373,0.01628,0.016032,0.016528,62.5,173.62252968296173
0.4,11,0.3318578290658434,,,,,
0.4,12,0.3061673288475636,,,,,
0.4,13,0.2826485264556581,,,,,
0.4,14,0.26108255230173627,,,,,
0.4,15,0.24128012678807387,,,,,
0.4,16,0.22307588920554844,,,,,
0.4,17,0.2063241750590512,,,,,
0.4,18,0.19089579314373284,,,,,
0.4,19,0.1766755121071436,,,,,
0.4,20,0.16356006300032266,,,,,
0.45,0,1.0,0.891443,0.890833,0.892052,,
0.45,1,0.9197757876800029,0.80369,0.802911,0.804468,6.25,6.7951342965492625
0.45,2,0.8777174393950844,0.643097,0.642158,0.644036,,
0.45,3,0.8443949783213225,0.51483,0.51385,0.51581,18.75,22.205248114188755
0.45,4,0.8156138805208749,0.408732,0.407769,0.409696,,
0.45,5,0.789785814061307,0.324176,0.323259,0.325094,,
0.45,6,0.7661054588915404,0.256729,0.255873,0.257585,37.5,48.94887455084559
0.45,7,0.74409635827717,0.200847,0.200062,0.201633,,
0.45,8,0.7234478616765505,0.15738,0.156667,0.158094,,
0.45,9,0.7039433295190342,0.123067,0.122423,0.123711,,
0.45,10,0.6854240103232618,0.095156,0.094581,0.095731,62.5,91.18443337070079
0.45,11,0.6677690555965382,,,,,
0.45,12,0.6508836448093718,,,,,
0.45,13,0.6346915244865846,,,,,
0.45,14,0.619130105456809,,,,,
0.45,15,0.6041471199301582,,,,,
0.45,16,0.589698270494076,,,,,
0.45,17,0.575745532592826,,,,,
0.45,18,0.562255900726712,,,,,
0.45,19,0.5492004439069913,,,,,
0.45,20,0.5365535816191448,,,,,
